vehicle,type,fuel,official_mileage,condition,distance_km,avg_speed_kmph,duration_hr,real_mileage,fuel_used_litre
Maruti Swift,Car,Petrol,22,City_Moderate,204,35.59,5.73,15.77,12.94
Honda Activa,Bike,Petrol,50,Mixed,367,44.6,8.23,37.88,9.69
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,450,12.02,37.45,18.1,24.86
Toyota Innova,Car,Diesel,15,Mixed,108,66.16,1.63,11.27,9.58
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,360,28.38,12.69,26.39,13.64
Maruti Swift,Car,Petrol,22,City_Moderate,297,42.68,6.96,16.68,17.81
Hyundai Creta,Car,Diesel,21,Mixed,96,51.23,1.87,15.34,6.26
Hyundai Creta,Car,Diesel,21,City_Heavy,55,24.73,2.22,8.69,6.33
Hyundai Creta,Car,Diesel,21,City_Moderate,218,47.77,4.56,16.52,13.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,105,29.7,3.54,14.86,7.07
Maruti Swift,Car,Petrol,22,Mixed,186,65.12,2.86,19.09,9.74
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,442,55.57,7.95,34.49,12.82
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,153,34.48,4.44,32.32,4.73
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,206,26.06,7.91,19.21,10.72
Honda Activa,Bike,Petrol,50,City_Heavy,429,12.29,34.92,20.05,21.4
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,94,67.6,1.39,35.23,2.67
Toyota Innova,Car,Diesel,15,City_Heavy,214,19.62,10.91,7.04,30.4
Hyundai Creta,Car,Diesel,21,Mixed,132,46.74,2.82,18.56,7.11
Honda Activa,Bike,Petrol,50,City_Heavy,183,14.96,12.23,24.52,7.46
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,184,35.47,5.19,25.04,7.35
Toyota Innova,Car,Diesel,15,Highway_Light,181,91.22,1.98,14.87,12.17
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,158,60.52,2.61,32.47,4.87
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,459,29.51,15.55,23.97,19.15
Toyota Innova,Car,Diesel,15,City_Heavy,152,18.29,8.31,7.38,20.6
Toyota Innova,Car,Diesel,15,City_Moderate,193,29.61,6.52,9.26,20.85
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,228,11.34,20.1,20.7,11.02
Maruti Swift,Car,Petrol,22,Highway_Light,383,91.99,4.16,21.45,17.86
Hyundai Creta,Car,Diesel,21,City_Heavy,162,13.81,11.73,9.87,16.42
Toyota Innova,Car,Diesel,15,City_Moderate,290,45.91,6.32,9.11,31.83
Toyota Innova,Car,Diesel,15,Highway_Light,261,91.02,2.87,14.38,18.15
Honda Activa,Bike,Petrol,50,City_Heavy,198,20.69,9.57,24.53,8.07
Toyota Innova,Car,Diesel,15,Mixed,226,56.79,3.98,11.94,18.92
Hyundai Creta,Car,Diesel,21,Mixed,389,50.03,7.78,15.35,25.34
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,135,74.93,1.8,40.84,3.31
Maruti Swift,Car,Petrol,22,City_Heavy,370,20.53,18.02,9.99,37.03
Hyundai Creta,Car,Diesel,21,Mixed,59,44.68,1.32,18.06,3.27
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,353,35.2,10.03,33.44,10.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,327,14.62,22.36,17.86,18.31
Toyota Innova,Car,Diesel,15,City_Heavy,332,12.08,27.48,8.02,41.42
Toyota Innova,Car,Diesel,15,Highway_Light,71,95.5,0.74,14.7,4.83
Toyota Innova,Car,Diesel,15,City_Moderate,268,27.49,9.75,10.67,25.12
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,82,40.08,2.05,22.7,3.61
Honda Activa,Bike,Petrol,50,Highway_Light,404,75.89,5.32,49.03,8.24
Hyundai Creta,Car,Diesel,21,Highway_Light,473,76.26,6.2,20.3,23.3
Honda Activa,Bike,Petrol,50,City_Moderate,470,25.33,18.56,33.24,14.14
Toyota Innova,Car,Diesel,15,Highway_Light,155,93.93,1.65,13.63,11.37
Maruti Swift,Car,Petrol,22,Mixed,407,57.49,7.08,15.94,25.53
Honda Activa,Bike,Petrol,50,City_Moderate,6,47.77,0.13,34.21,0.18
Maruti Swift,Car,Petrol,22,City_Heavy,15,15.19,0.99,11.55,1.3
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,475,41.03,11.58,27.16,17.49
Toyota Innova,Car,Diesel,15,Mixed,297,52.28,5.68,12.99,22.86
Maruti Swift,Car,Petrol,22,Mixed,230,65.83,3.49,17.83,12.9
Maruti Swift,Car,Petrol,22,Mixed,346,63.39,5.46,16.37,21.14
Maruti Swift,Car,Petrol,22,City_Moderate,162,37.19,4.36,13.7,11.82
Toyota Innova,Car,Diesel,15,Mixed,132,45.46,2.9,13.18,10.01
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,213,15.37,13.85,22.36,9.52
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,241,35.06,6.87,24.79,9.72
Hyundai Creta,Car,Diesel,21,Mixed,282,65.05,4.34,15.62,18.06
Hyundai Creta,Car,Diesel,21,Highway_Light,446,96.02,4.64,20.97,21.27
Honda Activa,Bike,Petrol,50,City_Moderate,297,25.46,11.67,36.91,8.05
Honda Activa,Bike,Petrol,50,Highway_Light,345,92.6,3.73,49.57,6.96
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,38,56.63,0.67,35.98,1.06
Toyota Innova,Car,Diesel,15,City_Heavy,382,24.4,15.65,7.95,48.02
Hyundai Creta,Car,Diesel,21,Highway_Light,346,65.48,5.28,19.12,18.09
Hyundai Creta,Car,Diesel,21,Mixed,138,61.97,2.23,18.48,7.47
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,241,23.3,10.34,20.26,11.9
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,177,93.52,1.89,41.29,4.29
Toyota Innova,Car,Diesel,15,Mixed,194,55.57,3.49,11.71,16.56
Maruti Swift,Car,Petrol,22,City_Moderate,314,43.45,7.23,13.41,23.42
Honda Activa,Bike,Petrol,50,City_Moderate,296,44.27,6.69,30.83,9.6
Honda Activa,Bike,Petrol,50,Mixed,271,48.66,5.57,35.68,7.59
Toyota Innova,Car,Diesel,15,Mixed,117,61.65,1.9,11.57,10.11
Hyundai Creta,Car,Diesel,21,Highway_Light,314,79.04,3.97,20.18,15.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,250,28.38,8.81,25.65,9.75
Toyota Innova,Car,Diesel,15,Mixed,254,40.94,6.2,11.95,21.25
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,231,65.25,3.54,26.34,8.77
Toyota Innova,Car,Diesel,15,City_Heavy,369,13.09,28.18,8.54,43.21
Honda Activa,Bike,Petrol,50,Highway_Light,454,64.26,7.06,48.12,9.44
Hyundai Creta,Car,Diesel,21,City_Heavy,21,18.26,1.15,8.72,2.41
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,108,35.87,3.01,25.93,4.16
Toyota Innova,Car,Diesel,15,Highway_Light,135,63.11,2.14,13.87,9.73
Maruti Swift,Car,Petrol,22,City_Heavy,439,15.44,28.43,8.81,49.83
Maruti Swift,Car,Petrol,22,City_Heavy,279,16.29,17.13,11.4,24.48
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,309,44.1,7.01,38.77,7.97
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,315,80.85,3.9,34.83,9.05
Maruti Swift,Car,Petrol,22,Highway_Light,84,94.92,0.88,19.99,4.2
Toyota Innova,Car,Diesel,15,City_Heavy,153,25.18,6.08,8.2,18.67
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,468,46.23,10.12,33.52,13.96
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,93,22.93,4.06,20.25,4.59
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,493,68.32,7.22,29.35,16.8
Honda Activa,Bike,Petrol,50,Highway_Light,270,83.53,3.23,45.2,5.97
Toyota Innova,Car,Diesel,15,Highway_Light,286,82.72,3.46,15.0,19.07
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,274,43.62,6.28,39.74,6.89
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,375,96.98,3.87,43.79,8.56
Honda Activa,Bike,Petrol,50,City_Heavy,219,25.91,8.45,29.71,7.37
Toyota Innova,Car,Diesel,15,City_Moderate,376,46.11,8.15,11.24,33.47
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,494,85.78,5.76,32.62,15.15
Honda Activa,Bike,Petrol,50,City_Heavy,156,14.6,10.68,26.5,5.89
Hyundai Creta,Car,Diesel,21,City_Moderate,102,47.12,2.16,13.11,7.78
Maruti Swift,Car,Petrol,22,Highway_Light,478,88.99,5.37,20.97,22.8
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,19,64.12,0.3,32.09,0.59
Maruti Swift,Car,Petrol,22,City_Moderate,474,32.97,14.38,15.57,30.45
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,20,35.67,0.56,25.38,0.79
Honda Activa,Bike,Petrol,50,Highway_Light,454,60.98,7.45,49.38,9.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,418,10.0,41.78,20.09,20.81
Honda Activa,Bike,Petrol,50,Highway_Light,278,97.56,2.85,45.93,6.05
Maruti Swift,Car,Petrol,22,Highway_Light,43,60.38,0.71,21.56,1.99
Toyota Innova,Car,Diesel,15,Mixed,481,41.13,11.7,10.66,45.13
Toyota Innova,Car,Diesel,15,City_Moderate,276,46.84,5.89,10.44,26.44
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,270,63.67,4.24,34.94,7.73
Hyundai Creta,Car,Diesel,21,Highway_Light,344,89.5,3.84,19.61,17.55
Honda Activa,Bike,Petrol,50,Highway_Light,7,78.69,0.09,46.19,0.15
Maruti Swift,Car,Petrol,22,Highway_Light,328,88.62,3.7,20.45,16.04
Maruti Swift,Car,Petrol,22,Mixed,436,40.54,10.76,17.99,24.23
Maruti Swift,Car,Petrol,22,City_Heavy,77,12.19,6.32,13.15,5.86
Maruti Swift,Car,Petrol,22,City_Moderate,456,30.46,14.97,14.92,30.56
Honda Activa,Bike,Petrol,50,Highway_Light,65,70.36,0.92,49.75,1.31
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,299,66.37,4.5,28.62,10.45
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,15,47.59,0.32,35.5,0.42
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,203,49.78,4.08,35.9,5.65
Maruti Swift,Car,Petrol,22,Mixed,152,65.13,2.33,16.42,9.26
Maruti Swift,Car,Petrol,22,Highway_Light,247,80.51,3.07,20.31,12.16
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,230,34.6,6.65,22.61,10.17
Hyundai Creta,Car,Diesel,21,City_Moderate,263,45.66,5.76,12.75,20.62
Maruti Swift,Car,Petrol,22,Mixed,58,69.07,0.84,18.92,3.06
Hyundai Creta,Car,Diesel,21,City_Heavy,103,21.95,4.69,12.11,8.5
Toyota Innova,Car,Diesel,15,Mixed,383,51.89,7.38,12.08,31.72
Honda Activa,Bike,Petrol,50,City_Moderate,66,49.91,1.32,37.58,1.76
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,231,14.49,15.94,20.28,11.39
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,499,41.05,12.16,26.07,19.14
Toyota Innova,Car,Diesel,15,Mixed,361,42.74,8.45,13.18,27.38
Honda Activa,Bike,Petrol,50,Mixed,327,48.19,6.79,43.77,7.47
Toyota Innova,Car,Diesel,15,Mixed,199,68.67,2.9,11.93,16.68
Honda Activa,Bike,Petrol,50,Mixed,13,49.87,0.26,43.62,0.3
Hyundai Creta,Car,Diesel,21,Mixed,399,42.61,9.36,18.61,21.44
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,467,60.2,7.76,42.34,11.03
Toyota Innova,Car,Diesel,15,City_Heavy,180,19.92,9.04,8.09,22.26
Honda Activa,Bike,Petrol,50,Mixed,320,43.28,7.39,35.81,8.94
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,465,27.02,17.21,20.26,22.95
Toyota Innova,Car,Diesel,15,City_Heavy,228,20.32,11.22,7.49,30.46
Toyota Innova,Car,Diesel,15,Mixed,327,50.43,6.48,13.22,24.74
Maruti Swift,Car,Petrol,22,Mixed,351,65.93,5.32,18.38,19.09
Hyundai Creta,Car,Diesel,21,Highway_Light,220,91.9,2.39,20.44,10.76
Honda Activa,Bike,Petrol,50,City_Heavy,357,13.15,27.15,26.58,13.43
Maruti Swift,Car,Petrol,22,City_Moderate,273,45.93,5.94,13.91,19.63
Maruti Swift,Car,Petrol,22,City_Moderate,174,27.65,6.29,16.27,10.7
Honda Activa,Bike,Petrol,50,Highway_Light,192,66.34,2.89,48.49,3.96
Hyundai Creta,Car,Diesel,21,City_Heavy,318,19.31,16.47,12.1,26.28
Hyundai Creta,Car,Diesel,21,City_Moderate,430,28.22,15.24,16.29,26.39
Toyota Innova,Car,Diesel,15,City_Heavy,162,28.17,5.75,7.01,23.13
Honda Activa,Bike,Petrol,50,City_Heavy,262,26.64,9.83,20.01,13.09
Hyundai Creta,Car,Diesel,21,Mixed,299,45.79,6.53,16.83,17.76
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,159,49.53,3.21,27.76,5.73
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,227,75.07,3.02,33.71,6.73
Maruti Swift,Car,Petrol,22,Mixed,369,63.4,5.82,15.44,23.9
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,418,60.74,6.88,31.87,13.11
Toyota Innova,Car,Diesel,15,Highway_Light,486,73.67,6.6,14.15,34.35
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,226,62.61,3.61,37.19,6.08
Hyundai Creta,Car,Diesel,21,Mixed,408,60.64,6.73,18.01,22.65
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,223,29.16,7.65,21.47,10.38
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,405,57.47,7.05,38.44,10.54
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,478,42.24,11.32,26.92,17.76
Maruti Swift,Car,Petrol,22,Mixed,274,69.2,3.96,19.15,14.31
Hyundai Creta,Car,Diesel,21,Mixed,168,59.43,2.83,18.77,8.95
Honda Activa,Bike,Petrol,50,Highway_Light,464,60.98,7.61,47.97,9.67
Hyundai Creta,Car,Diesel,21,Mixed,138,51.16,2.7,14.79,9.33
Maruti Swift,Car,Petrol,22,City_Heavy,463,23.67,19.56,12.4,37.33
Honda Activa,Bike,Petrol,50,Highway_Light,434,78.74,5.51,47.23,9.19
Honda Activa,Bike,Petrol,50,City_Moderate,103,36.28,2.84,39.44,2.61
Hyundai Creta,Car,Diesel,21,City_Moderate,379,45.65,8.3,13.29,28.52
Maruti Swift,Car,Petrol,22,Highway_Light,292,63.3,4.61,20.46,14.27
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,26,12.63,2.06,24.12,1.08
Honda Activa,Bike,Petrol,50,City_Heavy,386,13.02,29.64,28.68,13.46
Toyota Innova,Car,Diesel,15,City_Moderate,25,47.74,0.52,10.3,2.43
Toyota Innova,Car,Diesel,15,Mixed,88,51.93,1.69,13.07,6.73
Honda Activa,Bike,Petrol,50,City_Moderate,391,32.8,11.92,32.74,11.94
Honda Activa,Bike,Petrol,50,Mixed,426,46.9,9.08,38.21,11.15
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,324,27.36,11.84,15.49,20.91
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,278,46.61,5.96,33.43,8.31
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,76,13.18,5.76,22.26,3.41
Honda Activa,Bike,Petrol,50,Mixed,97,63.3,1.53,37.04,2.62
Hyundai Creta,Car,Diesel,21,City_Heavy,178,20.61,8.64,11.64,15.29
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,353,12.62,27.96,14.13,24.99
Honda Activa,Bike,Petrol,50,City_Moderate,320,49.19,6.51,30.33,10.55
Hyundai Creta,Car,Diesel,21,City_Heavy,19,19.63,0.97,9.18,2.07
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,277,58.22,4.76,32.56,8.51
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,13,68.02,0.19,41.61,0.31
Toyota Innova,Car,Diesel,15,Highway_Light,323,86.06,3.75,14.24,22.69
Hyundai Creta,Car,Diesel,21,City_Moderate,390,44.94,8.68,13.97,27.92
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,209,65.98,3.17,41.9,4.99
Toyota Innova,Car,Diesel,15,Highway_Light,482,75.7,6.37,14.2,33.95
Honda Activa,Bike,Petrol,50,Mixed,99,61.66,1.61,39.8,2.49
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,221,94.4,2.34,33.8,6.54
Hyundai Creta,Car,Diesel,21,Highway_Light,396,88.97,4.45,20.54,19.28
Maruti Swift,Car,Petrol,22,City_Moderate,45,31.05,1.45,16.5,2.73
Honda Activa,Bike,Petrol,50,Highway_Light,164,60.73,2.7,49.93,3.28
Hyundai Creta,Car,Diesel,21,Mixed,96,61.07,1.57,16.73,5.74
Honda Activa,Bike,Petrol,50,City_Moderate,420,48.53,8.65,35.6,11.8
Toyota Innova,Car,Diesel,15,City_Moderate,229,27.2,8.42,9.22,24.84
Honda Activa,Bike,Petrol,50,Mixed,421,64.74,6.5,38.51,10.93
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,107,12.65,8.46,16.5,6.48
Toyota Innova,Car,Diesel,15,City_Moderate,178,42.33,4.21,10.7,16.63
Hyundai Creta,Car,Diesel,21,City_Moderate,110,29.19,3.77,16.05,6.85
Toyota Innova,Car,Diesel,15,Mixed,463,43.73,10.59,10.81,42.82
Honda Activa,Bike,Petrol,50,City_Heavy,13,28.72,0.45,28.96,0.45
Toyota Innova,Car,Diesel,15,City_Moderate,420,32.47,12.93,9.16,45.87
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,332,61.42,5.41,31.05,10.69
Honda Activa,Bike,Petrol,50,City_Heavy,322,22.25,14.48,28.02,11.49
Hyundai Creta,Car,Diesel,21,Highway_Light,463,95.79,4.83,19.92,23.25
Maruti Swift,Car,Petrol,22,Highway_Light,318,91.35,3.48,21.0,15.14
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,131,38.16,3.43,24.37,5.38
Maruti Swift,Car,Petrol,22,City_Heavy,463,24.5,18.9,12.02,38.52
Maruti Swift,Car,Petrol,22,City_Heavy,16,13.19,1.21,11.41,1.4
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,126,16.58,7.6,20.1,6.27
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,177,29.55,5.99,31.23,5.67
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,187,61.75,3.03,34.26,5.46
Hyundai Creta,Car,Diesel,21,Highway_Light,458,88.77,5.16,19.24,23.81
Hyundai Creta,Car,Diesel,21,Mixed,356,56.27,6.33,15.66,22.73
Honda Activa,Bike,Petrol,50,Highway_Light,416,67.98,6.12,47.47,8.76
Hyundai Creta,Car,Diesel,21,Mixed,97,52.55,1.85,17.56,5.52
Toyota Innova,Car,Diesel,15,City_Heavy,395,19.25,20.52,6.61,59.75
Hyundai Creta,Car,Diesel,21,City_Moderate,163,35.4,4.6,16.25,10.03
Toyota Innova,Car,Diesel,15,City_Moderate,297,33.65,8.83,11.54,25.74
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,24,55.15,0.44,34.84,0.69
Hyundai Creta,Car,Diesel,21,Highway_Light,439,83.15,5.28,20.04,21.91
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,121,17.91,6.76,21.95,5.51
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,339,96.03,3.53,43.23,7.84
Maruti Swift,Car,Petrol,22,Highway_Light,430,99.69,4.31,20.73,20.75
Toyota Innova,Car,Diesel,15,Mixed,129,46.32,2.78,11.35,11.36
Maruti Swift,Car,Petrol,22,Mixed,44,65.08,0.68,18.14,2.43
Honda Activa,Bike,Petrol,50,Mixed,286,61.47,4.65,37.36,7.66
Honda Activa,Bike,Petrol,50,City_Heavy,91,22.65,4.02,29.09,3.13
Honda Activa,Bike,Petrol,50,Mixed,6,45.43,0.13,38.73,0.15
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,497,35.93,13.83,34.69,14.33
Honda Activa,Bike,Petrol,50,City_Heavy,385,18.91,20.36,20.97,18.36
Toyota Innova,Car,Diesel,15,City_Moderate,477,41.57,11.48,10.54,45.24
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,149,75.64,1.97,40.93,3.64
Maruti Swift,Car,Petrol,22,Highway_Light,70,94.32,0.74,21.93,3.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,453,44.34,10.22,21.06,21.51
Toyota Innova,Car,Diesel,15,City_Heavy,305,14.74,20.69,6.39,47.71
Toyota Innova,Car,Diesel,15,City_Moderate,14,26.84,0.52,9.7,1.44
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,462,77.95,5.93,32.09,14.4
Hyundai Creta,Car,Diesel,21,Highway_Light,365,77.24,4.73,20.31,17.98
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,175,68.46,2.56,26.24,6.67
Maruti Swift,Car,Petrol,22,Highway_Light,378,66.7,5.67,20.36,18.57
Toyota Innova,Car,Diesel,15,Highway_Light,425,74.27,5.72,13.56,31.35
Honda Activa,Bike,Petrol,50,Highway_Light,309,93.77,3.3,47.67,6.48
Maruti Swift,Car,Petrol,22,City_Moderate,160,46.61,3.43,16.74,9.56
Toyota Innova,Car,Diesel,15,Highway_Light,255,64.48,3.95,14.34,17.79
Toyota Innova,Car,Diesel,15,Mixed,134,43.69,3.07,11.31,11.85
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,286,61.57,4.64,32.31,8.85
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,202,29.5,6.85,21.85,9.24
Hyundai Creta,Car,Diesel,21,City_Heavy,165,20.14,8.19,8.77,18.81
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,494,34.93,14.14,27.37,18.05
Hyundai Creta,Car,Diesel,21,City_Moderate,255,25.12,10.15,14.62,17.45
Hyundai Creta,Car,Diesel,21,Mixed,310,69.19,4.48,18.7,16.58
Maruti Swift,Car,Petrol,22,Highway_Light,188,80.62,2.33,21.08,8.92
Honda Activa,Bike,Petrol,50,City_Heavy,432,20.64,20.93,24.89,17.36
Toyota Innova,Car,Diesel,15,City_Moderate,130,32.7,3.98,9.38,13.86
Honda Activa,Bike,Petrol,50,City_Moderate,238,43.32,5.49,37.05,6.42
Toyota Innova,Car,Diesel,15,City_Heavy,345,11.88,29.05,6.49,53.18
Maruti Swift,Car,Petrol,22,City_Moderate,356,30.86,11.53,16.16,22.03
Maruti Swift,Car,Petrol,22,Mixed,179,60.78,2.95,19.64,9.11
Hyundai Creta,Car,Diesel,21,Mixed,222,51.23,4.33,18.22,12.18
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,470,58.54,8.03,31.66,14.85
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,236,90.74,2.6,44.41,5.31
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,349,87.58,3.98,31.9,10.94
Maruti Swift,Car,Petrol,22,City_Moderate,151,48.52,3.11,16.18,9.33
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,308,23.02,13.38,25.44,12.11
Maruti Swift,Car,Petrol,22,City_Heavy,224,13.19,16.99,9.27,24.17
Toyota Innova,Car,Diesel,15,Highway_Light,67,99.09,0.68,14.41,4.65
Maruti Swift,Car,Petrol,22,Highway_Light,180,90.1,2.0,20.7,8.7
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,163,43.46,3.75,21.63,7.53
Toyota Innova,Car,Diesel,15,Mixed,385,62.96,6.12,13.14,29.31
Toyota Innova,Car,Diesel,15,Highway_Light,23,92.31,0.25,14.89,1.54
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,493,49.52,9.96,38.36,12.85
Toyota Innova,Car,Diesel,15,City_Moderate,133,28.01,4.75,11.61,11.46
Maruti Swift,Car,Petrol,22,City_Heavy,93,16.57,5.61,11.2,8.31
Honda Activa,Bike,Petrol,50,City_Moderate,203,39.09,5.19,36.3,5.59
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,97,53.46,1.81,34.92,2.78
Honda Activa,Bike,Petrol,50,City_Moderate,295,30.68,9.61,32.38,9.11
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,359,13.37,26.85,18.66,19.24
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,454,19.27,23.56,18.5,24.54
Hyundai Creta,Car,Diesel,21,City_Heavy,286,29.03,9.85,10.0,28.61
Hyundai Creta,Car,Diesel,21,Highway_Light,416,61.03,6.82,20.68,20.12
Toyota Innova,Car,Diesel,15,Highway_Light,16,65.96,0.24,14.01,1.14
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,467,56.01,8.34,28.19,16.57
Maruti Swift,Car,Petrol,22,City_Moderate,436,38.74,11.26,15.87,27.46
Honda Activa,Bike,Petrol,50,Highway_Light,368,98.22,3.75,48.73,7.55
Hyundai Creta,Car,Diesel,21,Highway_Light,411,77.23,5.32,18.94,21.7
Hyundai Creta,Car,Diesel,21,City_Heavy,121,27.96,4.33,12.17,9.95
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,207,17.6,11.76,20.19,10.25
Toyota Innova,Car,Diesel,15,City_Moderate,145,33.79,4.29,9.59,15.12
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,385,84.69,4.55,40.96,9.4
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,498,16.15,30.84,17.66,28.2
Hyundai Creta,Car,Diesel,21,Mixed,295,57.43,5.14,18.07,16.32
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,162,42.9,3.78,27.81,5.83
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,136,45.58,2.98,22.91,5.94
Toyota Innova,Car,Diesel,15,City_Moderate,267,42.03,6.35,10.57,25.27
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,401,13.69,29.29,15.27,26.26
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,245,21.35,11.48,16.07,15.25
Honda Activa,Bike,Petrol,50,Highway_Light,40,76.98,0.52,46.28,0.86
Honda Activa,Bike,Petrol,50,City_Heavy,314,21.0,14.95,20.87,15.05
Hyundai Creta,Car,Diesel,21,Highway_Light,366,64.49,5.68,18.99,19.27
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,410,45.48,9.02,21.02,19.51
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,397,63.81,6.22,39.46,10.06
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,476,18.22,26.12,23.82,19.98
Toyota Innova,Car,Diesel,15,City_Moderate,76,44.25,1.72,11.52,6.6
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,351,63.42,5.53,36.51,9.61
Hyundai Creta,Car,Diesel,21,City_Moderate,23,46.28,0.5,13.75,1.67
Toyota Innova,Car,Diesel,15,City_Moderate,349,27.39,12.74,11.01,31.69
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,485,52.72,9.2,37.11,13.07
Maruti Swift,Car,Petrol,22,City_Heavy,53,24.74,2.14,9.47,5.59
