vehicle_name,vehicle_type,year,vehicle_mileage,fuel_type,km_range_per_litre_or_charge
TVS Apache RTR 160,Bike,2024,45,Petrol,45
Hyundai Creta,Car,2013,0,Electric,201
KTM Duke 390,Bike,2025,0,Electric,113
Toyota Prius,Car,2006,13,Diesel,13
Honda Shine,Bike,2005,0,Electric,95
Maruti Swift,Car,2003,11,Petrol,11
Ather 450X,Bike,2020,0,Electric,121
Tesla Model 3,Car,1999,17,Petrol,17
TVS iQube,Bike,2025,0,Electric,194
Ford EcoSport,Car,2004,10,Petrol,10
Bajaj Dominar 400,Bike,2015,50,Petrol,50
Tata Altroz,Car,2009,24,Hybrid,24
Harley Davidson Street 750,Bike,2021,52,Petrol,52
Maruti Baleno,Car,2001,18,Petrol,18
TVS iQube,Bike,2022,0,Electric,151
Jeep Compass,Car,2014,22,Diesel,22
Ducati Monster,Bike,2003,0,Electric,149
Ford EcoSport,Car,2001,0,Electric,356
TVS Apache RTR 160,Bike,2025,58,Petrol,58
Renault Duster,Car,2023,24,Petrol,24
BMW G310R,Bike,2023,55,Petrol,55
Maruti Swift,Car,2024,22,Diesel,22
Revolt RV400,Bike,2021,0,Electric,200
Audi e-tron,Car,2005,25,Petrol,25
Honda Shine,Bike,2001,30,Petrol,30
Tata Altroz,Car,2002,17,Petrol,17
Yamaha MT15,Bike,2002,0,Electric,164
Volkswagen Polo,Car,1999,27,Hybrid,27
Ducati Monster,Bike,2001,58,Petrol,58
BMW i4,Car,2013,23,Hybrid,23
Bajaj Pulsar 150,Bike,2002,54,Petrol,54
Kia Seltos,Car,1999,0,Electric,545
BMW G310R,Bike,2023,53,Petrol,53
MG ZS EV,Car,2023,17,Diesel,17
Revolt RV400,Bike,2020,0,Electric,126
Renault Duster,Car,2014,24,Diesel,24
Ducati Monster,Bike,2013,57,Petrol,57
Toyota Innova,Car,2004,22,Hybrid,22
Royal Enfield Classic 350,Bike,2022,0,Electric,114
Honda Amaze,Car,1997,21,Diesel,21
TVS Apache RTR 160,Bike,2004,0,Electric,107
Toyota Fortuner,Car,1998,24,Diesel,24
Bajaj Pulsar 150,Bike,2014,50,Petrol,50
Mahindra XUV400 EV,Car,2018,14,Diesel,14
KTM Duke 390,Bike,2003,0,Electric,105
BMW i4,Car,1999,24,Diesel,24
Honda Shine,Bike,2000,30,Petrol,30
Renault Duster,Car,2004,25,Hybrid,25
KTM Duke 390,Bike,2015,59,Petrol,59
Mahindra XUV300,Car,2007,0,Electric,383
Hero Splendor Plus,Bike,2022,47,Petrol,47
Renault Duster,Car,2018,21,Hybrid,21
Suzuki Gixxer SF,Bike,2011,0,Electric,176
Toyota Fortuner,Car,1999,0,Electric,457
Royal Enfield Classic 350,Bike,2011,0,Electric,174
Skoda Rapid,Car,1997,26,Hybrid,26
Bajaj Pulsar 150,Bike,2019,44,Petrol,44
Hyundai Kona Electric,Car,2021,0,Electric,458
Yamaha MT15,Bike,2022,0,Electric,123
Honda City,Car,2020,0,Electric,539
Hero Splendor Plus,Bike,2007,0,Electric,181
Audi e-tron,Car,1999,23,Diesel,23
Suzuki Gixxer SF,Bike,2022,43,Petrol,43
Honda Accord Hybrid,Car,2013,27,Hybrid,27
Harley Davidson Street 750,Bike,2015,60,Petrol,60
Renault Duster,Car,2011,18,Diesel,18
Ola S1 Pro,Bike,2009,0,Electric,200
Audi e-tron,Car,2004,22,Hybrid,22
Triumph Street Triple,Bike,2000,53,Petrol,53
Tesla Model Y,Car,2011,24,Hybrid,24
Bajaj Dominar 400,Bike,2013,58,Petrol,58
Volkswagen Polo,Car,2018,21,Petrol,21
TVS iQube,Bike,2017,50,Petrol,50
Mahindra XUV300,Car,2024,20,Petrol,20
Kawasaki Ninja 300,Bike,2022,0,Electric,107
Honda City,Car,2017,24,Hybrid,24
Kawasaki Ninja 300,Bike,2001,58,Petrol,58
Maruti Dzire,Car,1998,27,Hybrid,27
Bajaj Dominar 400,Bike,2021,55,Petrol,55
Honda Amaze,Car,2024,28,Hybrid,28
TVS iQube,Bike,2019,46,Petrol,46
Toyota Innova,Car,2022,22,Hybrid,22
Bajaj Dominar 400,Bike,2009,0,Electric,196
MG ZS EV,Car,2024,24,Diesel,24
Ather 450X,Bike,2025,0,Electric,170
Hyundai Verna,Car,2014,22,Diesel,22
Ola S1 Pro,Bike,2013,0,Electric,188
Volkswagen Polo,Car,2015,19,Diesel,19
KTM Duke 390,Bike,2016,41,Petrol,41
Renault Duster,Car,2003,12,Diesel,12
Suzuki Gixxer SF,Bike,2002,48,Petrol,48
MG ZS EV,Car,1997,10,Petrol,10
Royal Enfield Classic 350,Bike,2013,41,Petrol,41
Mercedes EQS,Car,2014,17,Diesel,17
Revolt RV400,Bike,2010,55,Petrol,55
Maruti Dzire,Car,2002,20,Hybrid,20
Triumph Street Triple,Bike,2010,0,Electric,137
Kia Seltos,Car,2020,21,Petrol,21
KTM Duke 390,Bike,2016,57,Petrol,57
Tata Nexon,Car,2025,0,Electric,541
Ather 450X,Bike,2016,0,Electric,158
Mahindra XUV300,Car,2020,0,Electric,341
Ather 450X,Bike,2020,32,Petrol,32
Renault Duster,Car,2013,25,Hybrid,25
Bajaj Dominar 400,Bike,2013,0,Electric,133
Tesla Model 3,Car,2005,15,Petrol,15
Honda Activa 6G,Bike,2007,0,Electric,172
Toyota Fortuner,Car,2004,24,Hybrid,24
Ola S1 Pro,Bike,2007,0,Electric,141
Hyundai Kona Electric,Car,2013,0,Electric,495
Ather 450X,Bike,2022,33,Petrol,33
Toyota Innova,Car,2005,22,Petrol,22
BMW G310R,Bike,2018,56,Petrol,56
Audi e-tron,Car,1996,14,Diesel,14
Ducati Monster,Bike,2013,53,Petrol,53
Tata Altroz,Car,2003,0,Electric,256
Yamaha MT15,Bike,2023,0,Electric,121
Tesla Model 3,Car,2010,14,Petrol,14
Harley Davidson Street 750,Bike,2001,55,Petrol,55
Skoda Rapid,Car,2014,20,Diesel,20
Harley Davidson Street 750,Bike,2009,31,Petrol,31
Toyota Innova,Car,2021,17,Diesel,17
Triumph Street Triple,Bike,2021,37,Petrol,37
Mercedes EQS,Car,2007,0,Electric,243
Yamaha MT15,Bike,2007,51,Petrol,51
Toyota Prius,Car,2001,15,Diesel,15
Yamaha R15 V4,Bike,2024,0,Electric,115
Honda Accord Hybrid,Car,2016,20,Diesel,20
Triumph Street Triple,Bike,2014,0,Electric,105
Ford EcoSport,Car,2017,19,Petrol,19
TVS Apache RTR 160,Bike,2005,0,Electric,172
Ford EcoSport,Car,2019,21,Hybrid,21
Bajaj Pulsar 150,Bike,2017,0,Electric,143
Kia Seltos,Car,2019,22,Hybrid,22
Kawasaki Ninja 300,Bike,2013,53,Petrol,53
Mahindra XUV400 EV,Car,2011,11,Petrol,11
Ola S1 Pro,Bike,2006,0,Electric,170
Jeep Compass,Car,2013,22,Petrol,22
Honda Shine,Bike,2018,0,Electric,109
Audi e-tron,Car,2018,16,Diesel,16
Bajaj Dominar 400,Bike,2013,55,Petrol,55
Hyundai Creta,Car,2005,28,Hybrid,28
Yamaha MT15,Bike,2015,44,Petrol,44
Maruti Dzire,Car,2011,0,Electric,419
Revolt RV400,Bike,2023,45,Petrol,45
Tesla Model Y,Car,1995,23,Petrol,23
Yamaha R15 V4,Bike,2025,59,Petrol,59
Renault Duster,Car,1998,12,Diesel,12
Harley Davidson Street 750,Bike,2009,56,Petrol,56
Tata Nexon,Car,2006,23,Petrol,23
Triumph Street Triple,Bike,2025,33,Petrol,33
Ford EcoSport,Car,2016,16,Petrol,16
BMW G310R,Bike,2016,0,Electric,167
Honda Accord Hybrid,Car,2025,23,Diesel,23
Suzuki Gixxer SF,Bike,2011,0,Electric,168
Kia Seltos,Car,1997,21,Diesel,21
Ather 450X,Bike,2018,45,Petrol,45
Tata Nexon,Car,2005,11,Petrol,11
Yamaha MT15,Bike,2001,0,Electric,166
Mercedes EQS,Car,2002,0,Electric,499
Yamaha R15 V4,Bike,2010,57,Petrol,57
Tata Nexon,Car,2007,0,Electric,556
Honda Activa 6G,Bike,2014,32,Petrol,32
Toyota Innova,Car,2014,21,Hybrid,21
Yamaha MT15,Bike,2000,0,Electric,152
BMW i4,Car,2012,0,Electric,413
BMW G310R,Bike,2017,30,Petrol,30
Tata Altroz,Car,2017,19,Diesel,19
Hero Splendor Plus,Bike,2002,0,Electric,87
Mahindra XUV400 EV,Car,2024,24,Hybrid,24
Ola S1 Pro,Bike,2017,0,Electric,178
Toyota Fortuner,Car,2021,18,Diesel,18
Kawasaki Ninja 300,Bike,2024,0,Electric,200
Skoda Rapid,Car,2022,24,Hybrid,24
Harley Davidson Street 750,Bike,2017,0,Electric,130
Mercedes EQS,Car,2006,20,Diesel,20
Ather 450X,Bike,2021,0,Electric,168
Ford EcoSport,Car,2010,12,Diesel,12
Yamaha R15 V4,Bike,2006,0,Electric,155
Tesla Model Y,Car,2004,0,Electric,524
Hero Splendor Plus,Bike,2012,35,Petrol,35
Hyundai Verna,Car,2011,21,Hybrid,21
Bajaj Pulsar 150,Bike,2003,32,Petrol,32
Honda Accord Hybrid,Car,2011,0,Electric,502
Harley Davidson Street 750,Bike,2014,0,Electric,110
Tata Altroz,Car,2024,22,Hybrid,22
Yamaha MT15,Bike,2016,56,Petrol,56
Ford EcoSport,Car,2021,0,Electric,495
Yamaha R15 V4,Bike,2004,0,Electric,193
Hyundai Creta,Car,2005,22,Diesel,22
Yamaha MT15,Bike,2001,36,Petrol,36
Mahindra XUV300,Car,2018,21,Hybrid,21
Suzuki Gixxer SF,Bike,2024,48,Petrol,48
Audi e-tron,Car,2020,0,Electric,313
Royal Enfield Classic 350,Bike,2022,59,Petrol,59
Tesla Model Y,Car,2000,0,Electric,424
Bajaj Dominar 400,Bike,2006,0,Electric,152
Hyundai Verna,Car,2009,20,Petrol,20
Hero Splendor Plus,Bike,2013,46,Petrol,46
Maruti Swift,Car,2001,14,Petrol,14
Yamaha MT15,Bike,2024,0,Electric,168
Maruti Baleno,Car,2003,0,Electric,595
Harley Davidson Street 750,Bike,2016,51,Petrol,51
Honda City,Car,2003,21,Diesel,21
Ducati Monster,Bike,2022,0,Electric,94
Kia Seltos,Car,2008,0,Electric,262
Ather 450X,Bike,2011,39,Petrol,39
Mahindra Scorpio,Car,2018,0,Electric,351
Kawasaki Ninja 300,Bike,2012,0,Electric,115
Tata Altroz,Car,2021,26,Hybrid,26
TVS Apache RTR 160,Bike,2023,0,Electric,172
Kia Seltos,Car,2013,0,Electric,393
Ola S1 Pro,Bike,2015,57,Petrol,57
Ford EcoSport,Car,2010,17,Petrol,17
Harley Davidson Street 750,Bike,2022,0,Electric,88
Mercedes EQS,Car,2015,25,Hybrid,25
Ather 450X,Bike,2017,53,Petrol,53
Mahindra XUV400 EV,Car,1995,23,Hybrid,23
Revolt RV400,Bike,2001,48,Petrol,48
Jeep Compass,Car,2024,15,Diesel,15
Ather 450X,Bike,2021,0,Electric,93
Tesla Model Y,Car,2019,0,Electric,597
TVS iQube,Bike,2016,0,Electric,188
Ford EcoSport,Car,2010,24,Hybrid,24
Yamaha R15 V4,Bike,2001,0,Electric,167
Tesla Model 3,Car,2019,22,Diesel,22
Ather 450X,Bike,2013,0,Electric,128
Tesla Model 3,Car,2004,17,Diesel,17
Yamaha MT15,Bike,2020,49,Petrol,49
MG ZS EV,Car,2017,20,Hybrid,20
Honda Shine,Bike,2014,57,Petrol,57
Toyota Fortuner,Car,2021,22,Hybrid,22
Harley Davidson Street 750,Bike,2002,38,Petrol,38
Toyota Fortuner,Car,2018,27,Hybrid,27
Triumph Street Triple,Bike,2006,0,Electric,89
MG ZS EV,Car,2012,23,Hybrid,23
Triumph Street Triple,Bike,2021,56,Petrol,56
Tesla Model 3,Car,2008,24,Petrol,24
Royal Enfield Classic 350,Bike,2012,52,Petrol,52
Jeep Compass,Car,2019,21,Diesel,21
Yamaha R15 V4,Bike,2013,0,Electric,170
Audi e-tron,Car,2006,15,Diesel,15
Honda Activa 6G,Bike,2008,49,Petrol,49
Hyundai i20,Car,2007,20,Diesel,20
TVS Apache RTR 160,Bike,2015,34,Petrol,34
Mercedes EQS,Car,2014,0,Electric,236
Kawasaki Ninja 300,Bike,2006,32,Petrol,32
Maruti Baleno,Car,1999,21,Hybrid,21
TVS iQube,Bike,2003,0,Electric,159
Mahindra XUV300,Car,2025,28,Hybrid,28
Triumph Street Triple,Bike,2003,0,Electric,161
Mahindra Scorpio,Car,2021,13,Petrol,13
Yamaha MT15,Bike,2013,33,Petrol,33
Maruti Baleno,Car,2003,20,Hybrid,20
Bajaj Dominar 400,Bike,2014,36,Petrol,36
Mercedes EQS,Car,2021,18,Diesel,18
Bajaj Pulsar 150,Bike,2022,0,Electric,152
Mercedes EQS,Car,2011,22,Hybrid,22
TVS iQube,Bike,2005,0,Electric,162
Mercedes EQS,Car,2000,23,Petrol,23
Hero Splendor Plus,Bike,2000,0,Electric,160
Tata Nexon,Car,2017,26,Hybrid,26
Hero Splendor Plus,Bike,2020,0,Electric,186
Tata Altroz,Car,2015,18,Diesel,18
Honda Shine,Bike,2020,49,Petrol,49
Audi e-tron,Car,1996,0,Electric,413
Honda Activa 6G,Bike,2006,39,Petrol,39
Maruti Dzire,Car,2022,20,Diesel,20
Kawasaki Ninja 300,Bike,2016,0,Electric,103
Honda City,Car,2013,12,Diesel,12
Ola S1 Pro,Bike,2023,0,Electric,182
Tesla Model Y,Car,2012,28,Hybrid,28
Suzuki Gixxer SF,Bike,2009,0,Electric,118
Toyota Fortuner,Car,2022,13,Diesel,13
Bajaj Pulsar 150,Bike,2019,35,Petrol,35
BMW i4,Car,2018,0,Electric,285
Royal Enfield Classic 350,Bike,2014,43,Petrol,43
MG ZS EV,Car,2005,12,Petrol,12
Royal Enfield Classic 350,Bike,2012,0,Electric,126
Ford EcoSport,Car,2006,23,Diesel,23
Yamaha MT15,Bike,2000,31,Petrol,31
Audi e-tron,Car,2001,0,Electric,322
Triumph Street Triple,Bike,2021,0,Electric,95
Audi e-tron,Car,2003,22,Hybrid,22
Yamaha MT15,Bike,2021,0,Electric,174
Renault Duster,Car,2000,23,Diesel,23
Ola S1 Pro,Bike,2000,58,Petrol,58
Tata Altroz,Car,2002,14,Diesel,14
TVS Apache RTR 160,Bike,2018,42,Petrol,42
Honda City,Car,2006,0,Electric,564
Kawasaki Ninja 300,Bike,2003,0,Electric,189
Hyundai Creta,Car,2020,0,Electric,301
Ola S1 Pro,Bike,2015,37,Petrol,37
Jeep Compass,Car,2016,0,Electric,566
Yamaha MT15,Bike,2022,48,Petrol,48
Hyundai Verna,Car,2004,0,Electric,286
Ola S1 Pro,Bike,2002,0,Electric,191
Jeep Compass,Car,2023,15,Diesel,15
Royal Enfield Classic 350,Bike,2013,0,Electric,119
Hyundai Verna,Car,2010,25,Petrol,25
Revolt RV400,Bike,2015,32,Petrol,32
Honda City,Car,2002,25,Petrol,25
Harley Davidson Street 750,Bike,2021,0,Electric,106
Audi e-tron,Car,2020,12,Petrol,12
Ola S1 Pro,Bike,2011,50,Petrol,50
Hyundai Kona Electric,Car,2024,0,Electric,404
TVS Apache RTR 160,Bike,2017,37,Petrol,37
Audi e-tron,Car,2002,26,Hybrid,26
KTM Duke 390,Bike,2013,50,Petrol,50
Volkswagen Polo,Car,1998,16,Diesel,16
Honda Shine,Bike,2016,55,Petrol,55
Renault Duster,Car,2018,20,Petrol,20
Hero Splendor Plus,Bike,2022,31,Petrol,31
Maruti Dzire,Car,2023,20,Diesel,20
Kawasaki Ninja 300,Bike,2004,0,Electric,123
Tata Nexon,Car,2006,28,Hybrid,28
Honda Shine,Bike,2002,43,Petrol,43
BMW i4,Car,2001,26,Hybrid,26
Harley Davidson Street 750,Bike,2004,54,Petrol,54
Honda City,Car,2008,22,Hybrid,22
Yamaha MT15,Bike,2023,55,Petrol,55
Toyota Fortuner,Car,1998,28,Hybrid,28
Royal Enfield Classic 350,Bike,2003,0,Electric,197
Jeep Compass,Car,2015,0,Electric,506
Honda Activa 6G,Bike,2019,0,Electric,143
Honda Amaze,Car,2016,0,Electric,436
Honda Activa 6G,Bike,2009,0,Electric,100
Mahindra XUV300,Car,2007,12,Petrol,12
Honda Activa 6G,Bike,2010,0,Electric,113
Tesla Model 3,Car,2021,0,Electric,394
BMW G310R,Bike,2006,0,Electric,177
Jeep Compass,Car,2023,19,Diesel,19
Honda Shine,Bike,2024,0,Electric,161
Audi e-tron,Car,2009,16,Petrol,16
Harley Davidson Street 750,Bike,2002,0,Electric,134
Toyota Prius,Car,2003,21,Petrol,21
Honda Shine,Bike,2019,0,Electric,104
Toyota Fortuner,Car,2024,15,Petrol,15
Triumph Street Triple,Bike,2024,43,Petrol,43
Tata Nexon,Car,2007,26,Hybrid,26
Royal Enfield Classic 350,Bike,2022,47,Petrol,47
Mahindra XUV300,Car,2020,18,Diesel,18
Yamaha MT15,Bike,2016,47,Petrol,47
Maruti Baleno,Car,2000,23,Diesel,23
Ducati Monster,Bike,2018,0,Electric,133
Kia Seltos,Car,2004,27,Hybrid,27
Triumph Street Triple,Bike,2018,51,Petrol,51
Mahindra XUV400 EV,Car,2006,15,Petrol,15
Ola S1 Pro,Bike,2023,0,Electric,102
Hyundai Creta,Car,2019,16,Diesel,16
Kawasaki Ninja 300,Bike,2009,41,Petrol,41
Skoda Rapid,Car,2007,13,Diesel,13
Hero Splendor Plus,Bike,2008,33,Petrol,33
Renault Duster,Car,2023,18,Diesel,18
Ather 450X,Bike,2010,51,Petrol,51
BMW i4,Car,1996,14,Diesel,14
BMW G310R,Bike,2008,0,Electric,172
Skoda Rapid,Car,2021,15,Petrol,15
Triumph Street Triple,Bike,2006,49,Petrol,49
Tesla Model Y,Car,2009,0,Electric,286
Royal Enfield Classic 350,Bike,2013,0,Electric,142
Hyundai Creta,Car,2006,0,Electric,252
Honda Activa 6G,Bike,2003,0,Electric,137
Mahindra XUV400 EV,Car,1997,14,Diesel,14
TVS iQube,Bike,2012,45,Petrol,45
Honda City,Car,1997,0,Electric,433
Honda Shine,Bike,2004,30,Petrol,30
Tesla Model 3,Car,2001,11,Petrol,11
Yamaha R15 V4,Bike,2012,0,Electric,198
Hyundai Verna,Car,2005,22,Petrol,22
Ather 450X,Bike,2017,0,Electric,153
Tesla Model 3,Car,2015,21,Petrol,21
Harley Davidson Street 750,Bike,2006,0,Electric,128
Mahindra XUV300,Car,2008,19,Diesel,19
TVS Apache RTR 160,Bike,2018,0,Electric,136
Hyundai Verna,Car,2018,24,Hybrid,24
Bajaj Dominar 400,Bike,2007,51,Petrol,51
Hyundai Verna,Car,2009,20,Petrol,20
Ather 450X,Bike,2017,58,Petrol,58
Honda City,Car,2023,22,Diesel,22
Revolt RV400,Bike,2003,0,Electric,90
Maruti Baleno,Car,1996,11,Petrol,11
Triumph Street Triple,Bike,2013,0,Electric,106
Mercedes EQS,Car,2021,0,Electric,467
Yamaha MT15,Bike,2022,0,Electric,185
BMW i4,Car,2012,24,Hybrid,24
Ducati Monster,Bike,2021,37,Petrol,37
Honda Accord Hybrid,Car,1998,26,Hybrid,26
Yamaha R15 V4,Bike,2009,0,Electric,137
Hyundai Kona Electric,Car,2023,28,Hybrid,28
TVS Apache RTR 160,Bike,2004,39,Petrol,39
Maruti Dzire,Car,2025,16,Petrol,16
Yamaha MT15,Bike,2021,0,Electric,81
Honda City,Car,2008,21,Petrol,21
Revolt RV400,Bike,2012,0,Electric,80
Mahindra XUV400 EV,Car,2012,25,Petrol,25
Bajaj Dominar 400,Bike,2021,48,Petrol,48
Ford EcoSport,Car,2024,13,Petrol,13
Kawasaki Ninja 300,Bike,2020,0,Electric,97
Kia Seltos,Car,1995,13,Diesel,13
Bajaj Dominar 400,Bike,2008,0,Electric,158
Hyundai i20,Car,2010,22,Hybrid,22
Ola S1 Pro,Bike,2018,48,Petrol,48
Toyota Fortuner,Car,2017,17,Petrol,17
Yamaha MT15,Bike,2017,0,Electric,83
Tata Nexon,Car,2021,20,Petrol,20
Bajaj Pulsar 150,Bike,2013,0,Electric,169
Renault Duster,Car,1997,13,Diesel,13
KTM Duke 390,Bike,2016,50,Petrol,50
Honda City,Car,2013,17,Diesel,17
Suzuki Gixxer SF,Bike,2004,40,Petrol,40
Mahindra Scorpio,Car,2010,0,Electric,343
Triumph Street Triple,Bike,2003,45,Petrol,45
Mercedes EQS,Car,1996,13,Diesel,13
Bajaj Dominar 400,Bike,2024,53,Petrol,53
Mercedes EQS,Car,2016,21,Petrol,21
Honda Shine,Bike,2016,32,Petrol,32
Maruti Baleno,Car,2006,0,Electric,536
TVS Apache RTR 160,Bike,2014,0,Electric,157
Audi e-tron,Car,1996,0,Electric,449
Ola S1 Pro,Bike,2002,60,Petrol,60
Jeep Compass,Car,2021,14,Petrol,14
Royal Enfield Classic 350,Bike,2013,0,Electric,186
Mahindra Scorpio,Car,2023,22,Petrol,22
Yamaha R15 V4,Bike,2025,0,Electric,176
Volkswagen Polo,Car,2015,0,Electric,256
Royal Enfield Classic 350,Bike,2023,31,Petrol,31
Mahindra Scorpio,Car,2004,24,Hybrid,24
Hero Splendor Plus,Bike,2002,0,Electric,127
Mahindra XUV300,Car,2016,0,Electric,219
Yamaha R15 V4,Bike,2004,0,Electric,185
Renault Duster,Car,2015,28,Hybrid,28
Honda Shine,Bike,2019,0,Electric,131
Tata Altroz,Car,2022,17,Diesel,17
Bajaj Pulsar 150,Bike,2012,0,Electric,165
Mahindra Scorpio,Car,2003,21,Hybrid,21
Suzuki Gixxer SF,Bike,2016,0,Electric,157
